Category	Name	Address	City	State	PostalCode
Anonimize	Calumet Public-School Library	57070 Mine Street	Calumet	MI	49913
Anonimize	Camden Township Library	119 South Main Street	Camden	MI	49232
Anonimize	Canton Public Library	1200 South Canton Center Road	Canton	MI	48188
Anonimize	Capac Public Library	111 North Main Street	Capac	MI	
Anonimize	Carleton Branch Library	1444 Kent Street	Carleton	MI	
Anonimize	Caro Area District Library	840 West Frank Street	Caro	MI	48723
Anonimize	Carson City Public Library	102 West Main Street	Carson City	MI	48811
Anonimize	Rawson Memorial District Library	6495 Pine Street	Cass City	MI	48726
Anonimize	Cass District Library	319 M-62	Cassopolis	MI	49031
Anonimize	Local History Branch Library	145 North Broadway	Cassopolis	MI	
Anonimize	Cedar Springs Public Library	43 West Cherry Street	Cedar Springs	MI	49319
Anonimize	Les Cheneaux Community Library	75 East Hodeck Street	Cedarville	MI	
Anonimize	Center Line Public Library	7345 Weingartz Street	Center Line	MI	48015
Anonimize	Central Lake District Library	7900 Maple Street	Central Lake	MI	49622
Anonimize	Nottawa Township Library	685 East Main Street	Centreville	MI	49032
Anonimize	Charlevoix Public Library	220 West Clinton Street	Charlevoix	MI	49720
Anonimize	Charlotte Community Library	226 South Bostwick Street	Charlotte	MI	48813
Anonimize	Chase Township Public Library	8400 East North Street	Chase	MI	49623
Anonimize	Cheboygan Area Public Library	100 South Bailey Street	Cheboygan	MI	49721
Anonimize	Chelsea District Library	221 South Main Street	Chelsea	MI	48118
Anonimize	Chesaning Public Library	227 East Broad Street	Chesaning	MI	48616
Anonimize	Chesterfield Township Library	50560 Patricia Avenue	Chesterfield	MI	48051
Anonimize	Garfield Memorial Library	101 East Fourth Street	Clare	MI	
Anonimize	Pere Marquette District Library	185 East Fourth Street	Clare	MI	48617
Anonimize	Independence Township Library	6495 Clarkston Road	Clarkston	MI	48346
Anonimize	Clarksville Area Library	200 Main Street	Clarksville	MI	
Anonimize	Blair Memorial Library	416 North Main Street	Clawson	MI	48017
Anonimize	Clayton Branch Library	"11029 Center Street,"	Clayton	MI	
Anonimize	Clifford Branch Library	9530 Main Street	Clifford	MI	
Anonimize	Lawrence Memorial Public Library	107 North Main Street	Climax	MI	49034
Anonimize	Clinton Township Public Library	100 Brown Street	Clinton	MI	49236
Anonimize	Clinton-Macomb Public Library	40900 Romeo Plank Road	Clinton Township	MI	48038
Anonimize	Macomb County Library	16480 Hall Road	Clinton Township	MI	48038
Anonimize	South Branch	35891 Gratiot	Clinton Township	MI	
Anonimize	Clio Area Library		Clio	MI	
Anonimize	Branch District Library	10 East Chicago Street	Coldwater	MI	49036
Anonimize	Coleman Area Library	111 First Street	Coleman	MI	48618
Anonimize	Coloma Public Library	151 West Center Street	Coloma	MI	49038
Anonimize	Colon Township Library	128 South Blackstone Avenue	Colon	MI	49040
Anonimize	Columbiaville Branch Library	4718 First Street	Columbiaville	MI	
Anonimize	Commerce Township Community Library	2869 North Pontiac Trail	Commerce Township	MI	48390
Anonimize	Kent District Library - Alpine Township	5255 Alpine Ave. Nw	Comstock Park	MI	49321
Anonimize	Concord Branch Library	110 Hanover Street	Concord	MI	
Anonimize	Constantine Township Library	165 Canaris Street	Constantine	MI	49042
Anonimize	Northeast Ottawa District Library	333 Ottawa Street	Coopersville	MI	49404
Anonimize	Community District Library	231 North Shiawassee Street	Corunna	MI	48817
Anonimize	Corunna Public Library	401 North Shiawassee Street	Corunna	MI	
Anonimize	Shiawassee County Library	701 South Norton Street	Corunna	MI	
Anonimize	Covert Branch Library	33805 M-140 Highway	Covert	MI	
Anonimize	Aitkin Memorial District Library	111 North Howard Avenue	Croswell	MI	48422
Anonimize	Crystal Community Library	221 South Lake Street	Crystal	MI	
Anonimize	Crystal Falls District Community Library	237 Superior Avenue	Crystal Falls	MI	49920
Anonimize	Dansville Branch	1379 East Mason Street	Dansville	MI	
Anonimize	Springfield Township Library	12000 Davisburg Road	Davisburg	MI	48350
Anonimize	Davison Area Library	203 East Fourth Street	Davison	MI	
Anonimize	Bryant Branch Library	22100 Michigan Avenue	Dearborn	MI	
Anonimize	Dearborn Public Library	16301 Michigan Avenue	Dearborn	MI	48126
Anonimize	Esper Branch Library	12929 West Warren Avenue	Dearborn	MI	
Anonimize	Snow Branch Library	23950 Princeton Street	Dearborn	MI	
Anonimize	Dearborn Heights City Libraries	24590 George Street	Dearborn Heights	MI	48127
Anonimize	"John F. Kennedy, Jr. Library"	24602 Van Born Road	Dearborn Heights	MI	
